
> dev
> vite


  VITE v5.2.11  ready in 88 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: http://192.168.32.4:5173/

  LARAVEL v11.14.0  plugin v1.0.2

  ➜  APP_URL: http://localhost
10:04:52 PM [vite] page reload resources/views/components/main/index.blade.php
10:08:58 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:08:58 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:10:09 PM [vite] page reload resources/views/components/header/navbar/dropdown-menu.blade.php
10:10:09 PM [vite] page reload resources/views/components/header/navbar/dropdown-menu.blade.php
10:11:44 PM [vite] page reload resources/views/components/header/navbar/item.blade.php
10:11:44 PM [vite] page reload resources/views/components/header/navbar/item.blade.php
10:13:49 PM [vite] page reload resources/views/components/header/search.blade.php
10:13:49 PM [vite] page reload resources/views/components/header/search.blade.php
10:14:35 PM [vite] page reload resources/views/components/header/search.blade.php
10:14:35 PM [vite] page reload resources/views/components/header/search.blade.php
10:16:03 PM [vite] page reload resources/views/components/header/search.blade.php
10:16:03 PM [vite] page reload resources/views/components/header/search.blade.php
10:16:32 PM [vite] page reload resources/views/components/header/top-banner.blade.php
10:16:32 PM [vite] page reload resources/views/components/header/top-banner.blade.php
10:18:30 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:18:30 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:19:32 PM [vite] page reload resources/views/components/header/search.blade.php
10:19:32 PM [vite] page reload resources/views/components/header/search.blade.php
10:22:52 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:22:52 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:23:05 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:23:05 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:23:14 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:23:14 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:24:18 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:24:18 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:24:41 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:24:41 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:25:16 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:25:16 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:25:35 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:25:35 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:25:54 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:25:54 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:25:58 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:25:58 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:26:19 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:26:19 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:26:54 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:26:54 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:27:17 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:27:17 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:28:18 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:28:18 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:28:30 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:28:30 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:29:15 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:29:15 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:29:53 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:29:53 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:30:15 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:30:15 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:31:05 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:31:05 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:31:24 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:31:24 PM [vite] page reload resources/views/components/header/main-menu.blade.php
10:32:29 PM [vite] page reload resources/views/components/main/index.blade.php
10:32:29 PM [vite] page reload resources/views/components/main/index.blade.php
10:32:32 PM [vite] page reload resources/views/components/main/index.blade.php
10:32:32 PM [vite] page reload resources/views/components/main/index.blade.php
10:32:46 PM [vite] page reload resources/views/components/main/index.blade.php
10:32:46 PM [vite] page reload resources/views/components/main/index.blade.php
10:33:36 PM [vite] page reload resources/views/components/main/index.blade.php
10:33:36 PM [vite] page reload resources/views/components/main/index.blade.php
10:34:20 PM [vite] page reload resources/views/welcome-old.blade.php
10:34:20 PM [vite] page reload resources/views/welcome-old.blade.php
10:34:50 PM [vite] page reload resources/views/welcome.blade.php
10:34:50 PM [vite] page reload resources/views/welcome.blade.php
10:35:34 PM [vite] page reload resources/views/components/main/index.blade.php
10:35:34 PM [vite] page reload resources/views/components/main/index.blade.php
10:36:46 PM [vite] page reload resources/views/components/main/index.blade.php
10:36:46 PM [vite] page reload resources/views/components/main/index.blade.php
10:36:50 PM [vite] page reload resources/views/components/main/index.blade.php
10:36:50 PM [vite] page reload resources/views/components/main/index.blade.php
10:37:15 PM [vite] page reload resources/views/components/main/index.blade.php
10:37:15 PM [vite] page reload resources/views/components/main/index.blade.php
10:37:25 PM [vite] page reload resources/views/components/main/index.blade.php
10:37:25 PM [vite] page reload resources/views/components/main/index.blade.php
10:37:29 PM [vite] page reload resources/views/components/main/index.blade.php
